Date,Price,Open,High,Low,Vol.,Change %
12/28/2022,73.06,74.19,74.54,72.84,10.22M,-1.70%
12/27/2022,74.32,74.33,74.74,74.16,8.96M,-0.76%
12/23/2022,74.89,74.89,75.35,74.17,7.45M,-0.52%
12/22/2022,75.28,76.28,76.43,74.01,12.98M,-2.41%
12/21/2022,77.14,75.86,77.42,75.77,10.78M,2.01%
12/20/2022,75.62,75.11,76.20,74.90,12.06M,-0.63%
12/19/2022,76.10,76.92,77.12,75.76,12.54M,-0.26%
12/16/2022,76.30,77.61,78.06,76.23,11.93M,-1.69%
12/15/2022,77.61,79.21,79.21,77.39,17.06M,-3.01%
12/14/2022,80.02,80.82,81.51,79.52,17.89M,-0.61%
12/13/2022,80.51,82.09,82.09,79.63,16.91M,0.10%
12/12/2022,80.43,79.79,80.43,78.80,11.45M,-0.32%
12/09/2022,80.69,80.85,82.19,80.69,13.79M,-0.14%
12/08/2022,80.80,79.45,80.97,79.10,11.18M,1.97%
12/07/2022,79.24,79.00,79.71,78.59,14.89M,-0.40%
12/06/2022,79.56,81.40,81.44,79.16,13.94M,-2.52%
12/05/2022,81.62,81.94,82.18,80.95,11.48M,0.15%
12/02/2022,81.50,81.81,82.16,81.15,10.52M,-1.43%
12/01/2022,82.68,83.04,83.63,81.14,15.69M,-0.36%
11/30/2022,82.98,80.63,83.43,80.47,20.81M,4.60%
11/29/2022,79.33,79.91,80.21,78.96,11.31M,0.14%
11/28/2022,79.22,80.27,81.08,78.89,13.20M,-2.68%
11/25/2022,81.40,82.14,82.37,81.40,5.91M,-0.70%
11/23/2022,81.97,82.44,82.94,81.73,14.68M,-0.69%
11/22/2022,82.54,81.35,83.19,81.23,16.50M,3.27%
11/21/2022,79.93,80.81,81.03,79.46,18.66M,-2.84%
11/18/2022,82.27,82.78,82.84,81.00,18.58M,0.97%
11/17/2022,81.48,79.30,82.94,78.69,24.28M,2.56%
11/16/2022,79.45,80.56,80.57,78.90,23.89M,-1.26%
11/15/2022,80.46,81.92,82.93,80.01,48.23M,10.52%
11/14/2022,72.80,73.24,73.68,72.24,10.32M,-1.40%
11/11/2022,73.83,72.91,74.60,72.39,15.52M,4.22%
11/10/2022,70.84,67.74,70.87,67.32,21.37M,8.98%
11/09/2022,65.00,66.53,66.60,64.95,15.05M,-0.03%
11/08/2022,65.02,64.37,65.75,64.22,14.07M,3.60%
11/07/2022,62.76,62.62,62.93,61.97,8.35M,0.45%
11/04/2022,62.48,61.51,62.50,61.02,12.79M,3.65%
11/03/2022,60.28,60.00,60.89,59.43,11.03M,-0.40%
11/02/2022,60.52,62.50,62.89,60.52,16.53M,-1.72%
11/01/2022,61.58,63.26,63.43,61.58,11.56M,0.05%
10/31/2022,61.55,61.59,62.26,61.07,10.77M,-0.74%
10/28/2022,62.01,60.77,62.03,60.07,11.97M,1.74%
10/27/2022,60.95,61.85,62.45,60.91,12.45M,0.18%
10/26/2022,60.84,60.86,61.98,60.43,14.05M,-0.49%
10/25/2022,61.14,59.96,61.36,59.51,21.60M,-0.24%
10/24/2022,61.29,60.58,61.62,59.68,24.98M,-3.86%
10/21/2022,63.75,62.21,63.76,62.02,13.70M,0.27%
10/20/2022,63.58,63.75,65.28,63.38,11.30M,-0.13%
10/19/2022,63.66,62.74,64.11,62.17,12.39M,-0.08%
10/18/2022,63.71,65.90,66.11,62.78,16.61M,-1.82%
10/17/2022,64.89,64.98,65.35,64.04,11.28M,1.52%
10/14/2022,63.92,67.26,67.45,63.78,19.45M,-4.05%
10/13/2022,66.62,63.06,70.20,62.32,36.36M,3.92%
10/12/2022,64.11,63.60,64.23,63.37,16.47M,1.04%
10/11/2022,63.45,64.20,64.91,62.62,28.53M,-5.92%
10/10/2022,67.44,69.85,69.88,67.01,16.00M,-3.31%
10/07/2022,69.75,71.85,72.00,69.75,14.76M,-6.19%
10/06/2022,74.35,73.97,74.92,73.86,11.74M,-0.17%
10/05/2022,74.48,72.92,74.91,72.58,14.04M,2.29%
